DIA;TEMP;H.R.;INT VIENTO;PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20100527;17,3;90;14;0;59,08341529;4,319781985;157,2327209;0,780653626;8,084297805;0,421173115
20100528;18,4;96;14;0;62,42679591;4,420239745;160,2487209;0,95072629;8,270176019;0,518920626
20100529;14,6;100;6;13;11,60051629;1,613805142;135,5412221;4,15655E-06;3,134314445;1,48698E-06
20100530;12,8;100;26;40;0;0,076854355;57,84035765;7,06071E-09;0,153199806;1,50904E-09
20100531;12,4;80;5;0,5;19,26793183;0,424592755;59,77635765;0,000126152;0,834369155;3,20513E-05
20100601;14;77;8;0;42,44871615;0,832420199;62,00035765;0,081056109;1,61077453;0,023673152
20100602;11;100;8;0;42,48237455;0,832420199;63,68435765;0,081528281;1,61215895;0,023816273
20100603;19;82;4;0;57,31926319;1,257274703;66,80835765;0,415024097;2,401561216;0,135784532
20100604;17;87;8;0;65,68051333;1,533582787;69,57235765;0,810301994;2,906969808;0,282326885
20100605;18;79;5;0;73,2813621;2,004586495;72,51635765;0,906273011;3,750016547;0,346536856
20100606;18;70;6;0;79,27611784;2,677448935;75,46035765;1,430539868;4,9185993;0,611026165
20100607;17;74;7;0;81,18826796;3,230065103;78,22435765;1,842943937;5,855647092;0,850597121
20100608;15;77;8;0;81,47394431;3,664900987;80,62835765;2,00343798;6,581867461;0,976650728
20100609;12;65;12;0;82,75377182;4,203308367;82,49235765;2,864547596;7,456741367;2,383475606
20100610;13;82;10;0;81,98833698;4,501340631;84,53635765;2,35584142;7,945048472;1,848065689
20100611;14;89;11;0;80,13692713;4,696388539;86,76035765;2,007871383;8,27319496;1,40217034
20100612;13;100;4;0;75,00550772;4,696388539;88,80435765;0,937274301;8,295955101;0,512395442
20100613;18,7;94;4;25;18,72824021;1,777928297;46,65118917;9,67134E-05;3,246534102;3,50391E-05
20100614;17,1;89;10;0;35,46665913;2,013019153;49,43318917;0,022367001;3,65403874;0,008467929
20100615;13,6;100;4;0,5;35,4980124;2,013019153;51,58518917;0,016649789;3,66817818;0,006312753
20100616;16;100;9;3;19,35107934;0,713446268;51,44633633;0,000159467;1,379080585;4,48405E-05
20100617;13;79;8;5;29,87117364;0,347704308;47,09433939;0,004977694;0,682805487;0,001224388
20100618;15,4;100;4;0;29,90067956;0,347704308;49,57033939;0,004102454;0,683424155;0,001009239
20100619;15,2;91;11;1,3;37,84530333;0,519971184;52,01033939;0,03937943;1,01458421;0,010370083
20100620;13,8;81;8;0;54,18456158;0,852409852;54,19833939;0,386971725;1,640323808;0,113546285
20100621;12,2;72;3;0;65,55650815;1,289711724;56,09833939;0,62691116;2,439227654;0,206118278
20100622;13,9;63;10;0;76,66227492;1,941437124;58,30433939;1,406443304;3,584481158;0,528590554
20100623;16,8;60;13;0;82,55319806;2,782221604;61,03233939;2,937545293;4,995168543;1,856281601
20100624;18,4;83;29;1,5;73,73312319;3,171495424;64,04833939;3,097955915;5,644269567;2,203146954
20100625;15,4;41;23;0;84,93228388;4,314657004;66,52433939;6,651436243;7,425328196;6,152890431
20100626;12,8;87;10;0;81,35913488;4,5268494;68,53233939;2,186350227;7,770511365;1,575571279
20100627;11,8;100;14;0;74,77768443;4,5268494;70,36033939;1,532136493;7,799230017;0,811718387
20100628;13,3;73;0;0;77,10290693;4,983409464;72,45833939;0,877397434;8,504543416;0,485834207
20100629;13,6;88;11;0;77,58639328;5,190552456;74,61033939;1,585166254;8,843095803;0,895731348
20100630;13,9;100;0;5;28,40845004;2,506604722;70,04222675;0,002198781;4,601522176;0,000912955
20100701;16,6;100;10;0;28,43747305;2,506604722;72,73422675;0,003669745;4,615550679;0,001525661
20100702;22,2;95;13;0;38,89836858;2,650027872;76,43422675;0,053936982;4,877306695;0,02295482
20100703;22,6;80;13;0;63,17452311;3,233569272;80,20622675;0,937719529;5,875001695;0,433453098
20100704;24,3;69;16;0;79,32460175;4,202937412;84,28422675;2,378726253;7,474110384;1,781447121
20100705;23,2;75;14;0;82,20487563;4,950830662;88,16422675;2,958870985;8,682723265;2,767703388
20100706;23,4;79;12;0;82,41316234;5,584231612;92,08022675;2,744908216;9,698102712;2,707842098
20100707;13,1;100;35;21;12,37885978;2,098285738;55,9769701;2,65803E-05;3,836998625;1,02544E-05
20100708;13,5;71;8;0;39,65482265;2,619533478;58,1109701;0,048630305;4,708447063;0,020388078
20100709;16,2;66;5;0;61,59183497;3,343666498;60,7309701;0,578162149;5,878237354;0,267318223
20100710;14,8;70;5;0;72,36567082;3,930901198;63,0989701;0,873242062;6,802376612;0,432477234
20100711;17,1;96;16;0;72,9199578;4,020525278;65,8809701;1,553632198;6,976640084;0,778927527
20100712;8;77;9;1;70,77256994;4,278194508;67,0249701;1,009541994;7,37890312;0,520257843
20100713;11;53;9;0;79,53464834;4,978321078;68,7089701;1,706757075;8,429702957;0,940767196
20100714;11;58;16;0;82,81225354;5,603966098;70,3929701;3,53011979;9,347543425;3,601015731
20100715;8;85;14;0;80,90803267;5,772011248;71,5369701;2,540087944;9,606295547;2,419157027
20100716;7;75;3;0;80,95438843;6,021308998;72,5009701;1,467025304;9,972120841;0,883648342
20100717;9;69;10;0;81,73031382;6,406766408;73,8249701;2,2839516;10,5291498;2,228776931
20100718;9;100;0;22;11,99407877;2,484077187;36,82148322;3,75539E-06;4,25116633;1,50912E-06
20100719;5;100;15;10;2,1502151;0,62261499;22,53325902;2,04308E-08;1,164770723;5,53309E-09
20100720;13;64;11;4;33,805276;0,62490636;20,33060342;0,015965743;1,160626613;0,004320605
20100721;11;78;5;0;49,4837437;0,95262518;22,01460342;0,198044513;1,719259102;0,058827792
20100722;12,7;75;5;0;62,80518098;1,37735468;24,00460342;0,615629859;2,409127424;0,201616737
20100723;11,9;60;6;0;74,35331257;2,01752668;25,85060342;1,001694174;3,376291375;0,368148657
20100724;10,1;81;15;0;77,06665974;2,27950476;27,37260342;1,863029298;3,773414202;0,714091316
20100725;9,2;100;17;0;73,62627464;2,27950476;28,73260342;1,68426458;3,804444329;0,647623752
20100726;14,6;59;14;0;81,22377762;3,07196383;31,06460342;2,632948904;4,926082726;1,488662095
20100727;15,7;58;13;0;84,07804952;3,94062799;33,59460342;3,579600167;6,094153947;2,825940636
20100728;17,6;56;13;0;85,47105974;4,95357707;36,46660342;4,329519999;7,395623794;3,95884141
20100729;14,6;72;10;0;84,54626468;5,49476863;38,79860342;3,277894691;8,116007177;3,017310512
20100730;15;100;0;2;55,67349718;4,176877905;41,20260342;0,296326923;6,664688406;0,145321818
20100731;13;56;3;20;36,51761187;2,175131184;11,12066191;0,019850183;2,921630981;0,006928252
20100801;10;71;5;0;53,8021392;2,626293348;12,62466191;0,320570114;3,455485425;0,118834667
20100802;9;53;10;0;70,85217181;3,29161388;13,94866191;1,064523826;4,140520988;0,42324735
20100803;8;62;8;0;77,32785198;3,776273328;15,09266191;1,33549807;4,646249101;0,556769609
20100804;8;53;18;0;82,13770862;4,37572054;16,23666191;3,589832911;5,2286717;2,588212286
20100805;8;100;2;0;75,98152382;4,37572054;17,38066191;0,898000099;5,370975846;0,398609925
20100806;13;77;14;0;78,96543088;4,830246448;19,42466191;2,07809395;5,957147686;0,966738001
20100807;14;83;5;0;79,41311431;5,1900269;21,64866191;1,378574929;6,490181178;0,667565551
20100808;13;90;0;0;79,1865316;5,38764686;23,69266191;1,048253079;6,869837708;0,521633077
20100809;14;65;11;0;82,10699594;6,12837132;25,91666191;2,513551908;7,703016919;2,005456576
20100810;18;44;10;0;86,58528157;7,627479896;28,86066191;4,35259779;9,185773017;4,489257669
20100811;12;81;9;0;83,15027595;7,97632818;30,72466191;2,590543672;9,674041386;2,499636829
20100812;11;100;9;33;10,38644471;3,108902854;1,684;2,557E-06;2,514373196;8,48884E-07
20100813;9,4;87;12;44;16,182854;1,013239696;1,396;4,96208E-05;0,746840284;1,23771E-05
20100814;10,3;72;3;0;35,4016519;1,460617648;2,954;0,015490065;1,363365808;0,004344044
20100815;11,2;79;11;0;53,29435537;1,822640596;4,674;0,412294029;1,845821674;0,124835676
20100816;16,1;70;10;0;70,13966043;2,545845556;7,276;1,03998031;2,715944079;0,354093095
20100817;19;69;9;0;78,84819879;3,419157592;10,4;1,597789481;3,753371113;0,611166874
20100818;22;65;10;0;83,36291679;4,552318852;14,064;2,800418954;5,032369644;1,714886219
20100819;18;91;0;2;57,87153979;3,56833187;17,008;0,353808744;4,681290225;0,147970875
