DIA;TEMP;H.R.;INT VIENTO (km/h);PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20210603;18;70;12;0;85,24003161;9,00599517;33,168;3,987034035;10,72898057;4,470717763
20210604;24;80;12;0;84,09769944;9,59548373;37,192;3,412684502;11,66626653;3,974064345
20210605;18;91;2;25;21,74666816;4,101982413;2,944;0,000277726;3,589354905;0,000104433
20210606;13;76;5;17;24,04030718;1,794772093;2,044;0,000720982;1,450138143;0,000205161
20210607;15;83;27;0;50,50630208;2,116172529;4,448;0,679563443;2,03643325;0,211540288
20210608;18;81;8;0;64,70603275;2,542318741;7,392;0,779821223;2,733939167;0,266100818
20210609;17;86;4;0;69,98729083;2,839881293;10,156;0,76492882;3,342875573;0,28010422
20210610;18;84;12;0;75,23599479;3,198741261;13,1;1,420768678;3,972489188;0,555634742
20210611;14;65;2;0;79,48375915;3,819348241;15,324;1,19349052;4,706241587;0,500267391
20210612;19;77;12;0;81,23727589;4,362217885;18,448;2,384282513;5,483098981;1,313740716
20210613;19;75;19;0;82,28457907;4,952293585;21,572;3,843972067;6,292917521;3,149329648
20210614;19;76;3;0;82,42896663;5,518766257;24,696;1,747681375;7,081378441;0,882603394
20210615;14;73;16;0;82,47582453;5,997520213;26,92;3,383998929;7,704061292;3,038125842
20210616;10;76;15;0;82,5226979;6,310348405;28,424;3,236599002;8,116102557;2,969746346
20210617;11;77;2;0;82,56958674;6,637150529;30,108;1,691210844;8,557926269;0,939496527
20210618;11;72;15;0;82,61649106;7,034996593;31,792;3,274820262;9,058684283;3,232088904
20210619;10;89;7;0;80,1156273;7,178376181;33,296;1,637733058;9,328733893;0,951861967
20210620;9;94;5;0;77,73274438;7,249537549;34,62;1,185510458;9,516901747;0,696387504
20210621;13;81;2;0;78,71379437;7,564127161;36,664;1,109159804;9,980551043;0,668396735
20210622;16;78;6;0;80,18294637;8,005891297;39,248;1,568365509;10,60414297;0,976853003
20210623;16;86;12;0;80,22906274;8,287013929;41,832;2,132303956;11,08441071;2,096233616
20210624;14;93;15;45;21,42439794;3,305565804;2,224;0,000475192;2,77355768;0,000162937
20210625;15;84;5;0;38,06691666;3,608060332;4,628;0,030467954;3,310574374;0,011117241
20210626;13;87;15;0;52,55660853;3,823305856;6,672;0,467254307;3,658835417;0,176986545
20210627;9;74;21;0;67,50910596;4,131671784;7,996;1,663699373;4,013830097;0,653313955
20210628;6;87;24;0;71,4734888;4,240057828;8,78;2,201331226;4,153108734;0,876303632
20210629;9;78;24;0;76,41185896;4,500982844;10,104;2,798511943;4,451164155;1,547297173
20210630;10;78;15;0;78,62223928;4,78774202;11,608;2,117487965;4,773532523;0,892933982
20210701;13;75;12;0;80,41259842;5,22170477;13,652;2,174626686;5,338576677;0,962697237
20210702;15;71;12;0;81,96853957;5,79650536;16,056;2,599352463;6,093422434;1,751221015
20210703;15;63;0;0;82,98075504;6,52987163;18,46;1,610745916;6,930719701;0,804975624
20210704;13;76;9;0;83,02779511;6,94647587;20,504;2,550107524;7,522040024;2,013693198
